incident_number,cal_year,type_of_incident,cost_gbp,final_description,animal_group_parent,property_category,ward_code,ward,stn_ground_name,easting,northing
B5930,2019,Special Service,666,BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05000628,WEST HILL,Wandsworth,524150,173150
R5931,2019,Special Service,333,RABBIT TRAPPED IN MECHANISM UNDER SETTEE,Rabbit,Dwelling,E05000319,ROMFORD TOWN,Hornchurch,552350,188150
B5932,2019,Special Service,333,PIGEONS TRAPPED IN NETTING,Bird,Dwelling,E05009396,GOLBORNE,North Kensington,524250,182050
C5933,2019,Special Service,333,CAT STUCK BEHIND KITCHEN UNITS,Cat,Dwelling,E05000483,FOREST GATE NORTH,Stratford,540450,185550
C5934,2019,Special Service,333,ASSIST RSPCA WITH CAT  STUCK ON ROOF,Cat,Dwelling,E05000422,GIPSY HILL,West Norwood,533250,171150
F5935,2019,Special Service,333,FOX TRAPPED IN POND FILTER,Fox,Outdoor Structure,E05011476,PURLEY & WOODCOTE,Purley,530550,161950
C5936,2019,Special Service,333,CAT TRAPPED IN  MECHANISM OF RECLINER CHAIR,Cat,Dwelling,E05011220,BLACKFEN & LAMORBEY,Eltham,545250,174250
C5937,2019,Special Service,333,CAT IN PRECARIOUS POSITION   H252 ATTENDING  NO FURTHER ATTENDANCE REQUIRED,Cat,Non Residential,E05000424,KNIGHT'S HILL,West Norwood,531650,171550
C5938,2019,Special Service,333,CAT STUCK ON BALCONY - OCCPANTS ON HOLIDAY,Cat,Dwelling,E05000642,QUEEN'S PARK,North Kensington,524250,182450
C5939,2019,Special Service,333,ASSIST RSPCA INSPECTOR WITH CAT STUCK ON 2ND STOREY ROOF,Cat,Dwelling,E05009324,ISLAND GARDENS,Millwall,537450,178650
B5940,2019,Special Service,333,PIGEON TRAPPED IN NETTING    BY RAILWAY BRIDGE    CALLER IS WAITING FOR YOU,Bird,Outdoor Structure,E05000469,RAYNES PARK,New Malden,523250,169350
D5941,2019,Special Service,333,DOG TRAPPED ON NEIGHBOURING BALCONY,Dog,Dwelling,E05009392,COLVILLE,North Kensington,524950,181050
B5942,2019,Special Service,333,ASSIST RSPCA,Bird,Dwelling,E05000634,CHURCH STREET,Paddington,527050,182150
C5943,2019,Special Service,333,INJURED CAT STUCK ON  LEDGE OF APARTMENT - CALLER WILL MEET,Cat,Dwelling,E05000620,QUEENSTOWN,Clapham,528850,176850
C5944,2019,Special Service,333,RUNNING CALL   CAT STUCK IN SCAFFOLDING - G351 DEALING - NO FURTHER BRIGADE ATTENDANCE REQUIRED,Cat,Dwelling,E05000264,TOWN,Fulham,525050,176650
C5945,2019,Special Service,333,RSPCA REQ ATT OF BRIGADE   CAT IN DISTRESS UP TREE,Cat,Outdoor,E05000103,WELSH HARP,Hendon,520250,187150
B5946,2019,Special Service,333,BIRD TRAPPED IN NETTING  ASSIST RSPCA  NEXT TO RECYCLING CENTRE,Bird,Non Residential,E05000408,GROVE,Surbiton,518850,168550
B5948,2019,Special Service,999,INJURED SWAN TRAPPED IN TREE - APPROX FORTY FOOT UP,Bird,Outdoor,E05000520,HAMPTON,Twickenham,514950,168850
C5950,2019,Special Service,333,CAT STUCK UNDER BONNET OF CAR    WHITE RANGE ROVER                1 X  FRU WITH AIRBAGS REQUESTED FR,Cat,Road Vehicle,E05000355,HESTON CENTRAL,Heston,512950,176650
C5951,2019,Special Service,333,CAT TRAPPED BEHIND KITCHEN CABINET,Cat,Dwelling,E05000123,PENGE AND CATOR,Beckenham,535950,170250
B5952,2019,Special Service,666,ASSIST RSPCA WITH INJURED GOOSE ON LAKE -- WATER OPS 1,Bird,Outdoor,E05011226,FALCONWOOD & WELLING,Bexley,547350,174850
C5953,2019,Special Service,333,CAT TRAPPED BETWEEN 2 WALLS     CALLER WILL DIRECT FROM THIS ADDRESS,Cat,Dwelling,E05000642,QUEEN'S PARK,North Kensington,524250,182450
H5954,2019,Special Service,666,HORSE FALLEN AND UNABLE TO GET UP,Horse,Non Residential,E05011478,SANDERSTEAD,Croydon,533150,161950
C5955,2019,Special Service,333,CAT STUCK IN ELECTRICAL SUB STATION,Cat,Outdoor Structure,E05009386,VICTORIA,Homerton,535050,184250
C5956,2019,Special Service,333,CAT TRAPPED UP TREE OVERHANGING RIVER,Cat,Outdoor,E05000326,BRUNEL,Hillingdon,506150,182850
H5957,2019,Special Service,666,LARGE ANIMAL RESCUE- ASSIST VET WITH COLLAPSED HORSE  ST MARYS LANE - M25 BRIDGE GOES OVER ST MARYS,Horse,Outdoor,E05000323,UPMINSTER,Hornchurch,558950,187050
C5958,2019,Special Service,666,ASSIST RSPCA WITH CAT STUCK UP  TREE - BEEN THERE FOR 2 DAYS,Cat,Outdoor,E05000126,SHORTLANDS,Beckenham,538450,167850
C5959,2019,Special Service,333,RUNNING CALL  CAT UP TREE   F351 ATTENDING,Cat,Outdoor,E05011238,CHURCHFIELDS,Woodford,540150,191450
B5960,2019,Special Service,333,PIGEON STUCK IN NETTING,Bird,Dwelling,E05000608,WILLIAM MORRIS,Walthamstow,536650,189650
B5961,2019,Special Service,333,BIRD STUCK IN CHIMNEY,Bird,Dwelling,E05000115,CRAY VALLEY WEST,Orpington,545850,168150
D5962,2019,Special Service,333,DOG WITH HEAD TRAPPED IN FENCE,Dog,Outdoor,E05000603,LEA BRIDGE,Leyton,537150,187550
B5963,2019,Special Service,666,OWL CAUGHT IN NET  APPROX 50 FOOT ABOVE,Bird,Dwelling,E05000644,ST. JAMES'S,Soho,529150,180150
D5964,2019,Special Service,333,DOG WITH HEAD TRAPPED IN RAILINGS,Dog,Outdoor Structure,E05000119,HAYES AND CONEY HALL,Bromley,540250,166250
C5965,2019,Special Service,333,F30 RUNNING CALL KITTENS TRAPPED UNDER RUBBLE,Cat,Dwelling,E05000590,CANN HALL,Leytonstone,539850,185950
C5966,2019,Special Service,333,CAT TRAPPED UNDER NEATH KICTHEN CUPBOARDS,Cat,Dwelling,E05000206,PONDERS END,Enfield,535450,196250
D5967,2019,Special Service,333,DOG OR FOX TRAPPED IN EXTRACTION VENT,Dog,Non Residential,E05000042,WHALEBONE,Dagenham,547750,187850
B5968,2019,Special Service,666,SWAN IN DISTRESS ON DISUSED BOAT,Bird,Boat,E05000347,BRENTFORD,Chiswick,518450,177850
C5969,2019,Special Service,333,CAT TRAPPED IN VENTILATION SYSTEM - FLAT 131  - ENTER VIA BRAEMAR ROAD,Cat,Dwelling,E05000277,ST. ANN'S,Tottenham,533050,188850
B5970,2019,Special Service,333,ANIMAL OR BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05000599,HIGH STREET,Walthamstow,536350,189050
C5971,2019,Special Service,339,CAT TRAPPED UNDER KITCHEN UNITS,Cat,Dwelling,E05011095,BOROUGH & BANKSIDE,Dowgate,532350,179950
B5972,2019,Special Service,339,PIGEON TRAPPED IN NETTING ABOVE,Bird,Dwelling,E05011249,MONKHAMS,Woodford,540950,191850
C5973,2019,Special Service,678,CAT OR DOG TRAPPED INSIDE STORAGE UNIT IN QUEENSWAY MARKET  CALLER ON SCENE WILL MEET YOU,Cat,Non Residential,E05000638,LANCASTER GATE,Paddington,525750,181050
D5974,2019,Special Service,339,DOG STUCK IN THE MUD NEXT TO CANNAL,Dog,Outdoor,E05000492,STRATFORD AND NEW TOWN,Stratford,538850,183150
C5975,2019,Special Service,339,INJURED CAT STUCK UP TREE,Cat,Outdoor,E05011230,SIDCUP,Sidcup,547250,170950
C5976,2019,Special Service,339,CAT STUCK BEHIND SINK - HAVING DIFFICULTY BREATHING,Cat,Dwelling,E05000225,PENINSULA,East Greenwich,540250,179050
C5977,2019,Special Service,1017,CAT 40FT UP TREE  RSPCA REFUSING TO ATTEND,Cat,Outdoor,E05000213,WINCHMORE HILL,Southgate,531150,193750
B5978,2019,Special Service,339,PIGEON TRAPPED BEHIND CHIMNEY,Bird,Dwelling,E05011224,EAST WICKHAM,Plumstead,545650,176850
B5979,2019,Special Service,339,ASSIST RSPCA WITH BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05000211,TURKEY STREET,Enfield,535550,199350
C5980,2019,Special Service,339,ASSIST RSPCA WITH CAT AT THIRD FLOOR LEVEL  RSPCA OFFICER IN ATTENDANCE,Cat,Dwelling,E05009399,NOTTING DALE,North Kensington,523750,180650
C5981,2019,Special Service,339,RUNNING CALL TO KITTEN UP TREE   H371 ATTENDING,Cat,Outdoor,E05000570,WALLINGTON SOUTH,Wallington,528850,162750
D5982,2019,Special Service,339,DOG TRAPPED IN BUSH,Dog,Dwelling,E05000405,CHESSINGTON SOUTH,Surbiton,519050,164050
B5983,2019,Special Service,339,ASSIST RSPCA WITH PIGEON STUCK IN NETTING ON 3RD FLOOR LEVEL,Bird,Dwelling,E05000099,QUEENSBURY,Stanmore,518950,189350
C5984,2019,Special Service,339,CAT STUCK UP TREE  CALLED BY RSCPA OFFICER WHO STATES THAT CAT IS APPROX 40 FT UP,Cat,Outdoor,E05000442,DOWNHAM,Bromley,539150,170750
D5985,2019,Special Service,678,DOG TRAPPED DOWN HOLE,Dog,Outdoor,E05000259,PALACE RIVERSIDE,Fulham,524250,175950
D5986,2019,Special Service,1017,SMALL ANIMAL RESCUE DOG DOWN FOX HOLE - FRU WITH SNAKE EYE X1,Dog,Outdoor,E05009379,KING'S PARK,Homerton,536950,185650
C5987,2019,Special Service,339,CAT STUCK IN FENCE - CALLER WILL MEET YOU AND DIRECT YOU,Cat,Outdoor Structure,E05000184,NORTHOLT MANDEVILLE,Northolt,513150,184550
C5988,2019,Special Service,339,KITTEN UP TREE FOR TWO DAYS,Cat,Dwelling,E05011476,PURLEY & WOODCOTE,Purley,531850,160850
C5989,2019,Special Service,339,SMALL ANIMAL RESCUE - CAT FALLEN FROM BALCONY - BELIEVED INJURED CAT IS ON BALCONY OF FLAT 7,Cat,Dwelling,E05011232,THAMESMEAD EAST,Erith,548050,179550
C5990,2019,Special Service,339,CAT TRAPPED UNDER SINK,Cat,Dwelling,E05000602,LARKSWOOD,Walthamstow,537950,191750
C5991,2019,Special Service,339,CAT TRAPPED IN SOFABED,Cat,Dwelling,E05000475,BECKTON,East Ham,542950,181750
B5992,2019,Special Service,339,TO ASSIST RSPCA WITH PIGEON CAUGHT IN TREE NEAR BOAT POND     ALP REQUIRED,Bird,Outdoor,E05000222,GREENWICH WEST,Greenwich,538850,177750
F5993,2019,Special Service,339,FERRET TRAPPED IN RADIATOR,Ferret,Dwelling,E05000228,THAMESMEAD MOORINGS,Plumstead,546350,180450
C5994,2019,Special Service,339,INJURED CAT TRAPPED AT LOWER GROUND LEVEL,Cat,Dwelling,E05009402,REDCLIFFE,Chelsea,525850,178350
B5995,2019,Special Service,339,BIRD STUCK IN CHIMNEY,Bird,Dwelling,E05011224,EAST WICKHAM,Plumstead,546350,176350
C5996,2019,Special Service,339,CAT STUCK DOWN MAN HOLE,Cat,Non Residential,E05000092,KENSAL GREEN,Willesden,521950,183450
C5997,2019,Special Service,339,ASSIST BLUE CROSS WITH CAT ON LEDGE,Cat,Non Residential,E05000647,WARWICK,Chelsea,528950,178850
C5998,2019,Special Service,339,CAT STUCK ON ROOF      REQUESTED TO ATTEND BY RSPCA   RSPCA IN ATTENDANCE,Cat,Dwelling,E05000350,CRANFORD,Feltham,511050,176450
B5999,2019,Special Service,678,PIGEON TRAPPED IN CHIMNEY - NO OTHER AGENCIES ATTENDING,Bird,Dwelling,E05000349,CHISWICK RIVERSIDE,Chiswick,520550,177350
B6000,2019,Special Service,339,BIRD STUCK IN NETTING    GROUND FLOOR FLAT,Bird,Dwelling,E05000264,TOWN,Fulham,524650,176550
D6001,2019,Special Service,339,DOG TRAPPED BETWEEN SHED AND FENCE,Dog,Dwelling,E05000209,SOUTHGATE GREEN,Southgate,530450,193150
B6002,2019,Special Service,339,PIGEON TRAPPED IN NETTING,Bird,Dwelling,E05000562,ST. HELIER,Sutton,526250,166450
D6003,2019,Special Service,339,PUPPY LOCKED IN PLAYGROUND,Dog,Non Residential,E05011102,FARADAY,Old Kent Road,532950,178350
D6004,2019,Special Service,339,ASSIST RSPCA GAIN ENTRY TO FREE DOG LOCKED IN,Dog,Dwelling,E05011106,NORTH BERMONDSEY,Dockhead,534750,179450
F6005,2019,Special Service,339,FOX CUB TRAPPED IN NETTING,Fox,Dwelling,E05000192,WALPOLE,Ealing,517550,179950
B6006,2019,Special Service,339,ASSIST RSPCA INSPECTOR WITH PIGEON IN NETTING ON ROOF APPROX 2 STOREYS HIGH,Bird,Dwelling,E05000218,ELTHAM NORTH,Eltham,542750,176250
C6007,2019,Special Service,339,CAT STUCK ON SIXTH FLOOR BALCONY,Cat,Dwelling,E05000420,COLDHARBOUR,Brixton,531750,175650
C6008,2019,Special Service,339,CAT  TRAPPED IN TREE IN WOODED  AREA  CALLER WILL MEET YOU IN ALLEYWAY  AT END OF CRESCENT,Cat,Outdoor,E05000602,LARKSWOOD,Chingford,538350,192750
C6009,2019,Special Service,339,CAT TRAPPED IN ROOM IN FLAT FOR 24HRS,Cat,Dwelling,E05000611,BEDFORD,Tooting,528550,172550
C6010,2019,Special Service,339,CAT IN PRECARIOUS POSITION ON FOURTH FLOOR  UNABLE TO BACK INSIDE BUILDING,Cat,Dwelling,E05009375,HAGGERSTON,Shoreditch,533750,183850
C6011,2019,Special Service,339,CAT SHUT IN METAL SHED  CALLER HAS SEEN CAT IN THE LAST 10 MINS,Cat,Non Residential,E05000288,GREENHILL,Harrow,514950,188550
B6012,2019,Special Service,678,ASSIST RSPCA   TWO PIGEONS HEADS STUCK IN SOLAR PANEL BY GUTTER,Bird,Dwelling,E05000598,HATCH LANE,Chingford,538750,193250
C6013,2019,Special Service,339,CAT TRAPPED UNDER DECKING,Cat,Dwelling,E05000624,SOUTHFIELDS,Wandsworth,525750,173050
D6014,2019,Special Service,339,DOG TRAPPED IN RAZOR WIRE,Dog,Outdoor,E05000465,LOWER MORDEN,Sutton,524250,167250
C6015,2019,Special Service,339,ASSIST RSPCA CAT UP TREE,Cat,Outdoor,E05000406,COOMBE HILL,New Malden,520850,170250
D6016,2019,Special Service,1017,DOG SHUT IN LIFT   LEAD CAUGHT IN DOORS,Dog,Dwelling,E05009317,BETHNAL GREEN,Bethnal Green,535750,183150
B6017,2019,Special Service,339,BIRD ENTANGLED IN WIRE    SECOND FLOOR LEVEL   CALLER WILL MEET BRIGADE,Bird,Dwelling,E05011110,PECKHAM,Peckham,534150,176750
S6018,2019,Special Service,NA,E286 ATTENDNG A RUNNING CALL TO A SNAKE IN ENGINE OF CAR - NO FURTHER ATTENDANCE REQUIRED,Snake,Road Vehicle,E05011219,BEXLEYHEATH,Bexley,549650,175750
B6019,2019,Special Service,339,PIGEON STUCK IN CHIMNEY,Bird,Dwelling,E05000291,HATCH END,Harrow,512550,190750
C6020,2019,Special Service,339,CAT STUCK ON ROOF - BEEN STUCK FOR MORE THAN 24 HOURS - CALLER AT FLAT 4,Cat,Dwelling,E05000047,COPPETTS,Southgate,528350,192550
B6021,2019,Special Service,339,BIRD TRAPPED IN NETTING UNDER BRIDGE - CALLER WILL FLAG YOU DOWN,Bird,Outdoor Structure,E05000611,BEDFORD,Tooting,529150,172950
C6022,2019,Special Service,339,CAT TRAPPED ON BALCONY,Cat,Dwelling,E05000184,NORTHOLT MANDEVILLE,Northolt,512450,185050
C6023,2019,Special Service,339,CAT TRAPPED BEHIND KITCHEN UNIT,Cat,Dwelling,E05009378,HOXTON WEST,Islington,532350,183050
D6024,2019,Special Service,339,DOG STUCK BETWEEN FENCE AND WALL        BACKING ONTO RAILWAY LINE,Dog,Outdoor,E05000377,MILDMAY,Islington,532250,185050
C6025,2019,Special Service,339,KITTEN POSSIBLY TRAPPED IN ENGINE OF CAR,Cat,Road Vehicle,E05000280,TOTTENHAM GREEN,Tottenham,533550,188950
C6026,2019,Special Service,339,CAT TRAPPED UNDER BONNET OF CAR,Cat,Road Vehicle,E05000378,ST. GEORGE'S,Holloway,530150,185850
B6027,2019,Special Service,339,WILD BIRD TRAPPED INSIDE BUILDING   CALLER WILL MEET YOU,Bird,Dwelling,E05000623,SHAFTESBURY,Clapham,528450,175750
C6028,2019,Special Service,339,CAT UP 50/60FT TREE FOR A WEEK - RSPCA IN ATTENDANCE,Cat,Outdoor,E05000097,PRESTON,Wembley,518750,186350
C6029,2019,Special Service,339,CAT TRAPPED WITHIN BUSHES BEHIND GRATE NEAR POND,Cat,Outdoor,E05011487,WADDON,Croydon,530950,165050
C6030,2019,Special Service,339,ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Dwelling,E05000254,FULHAM BROADWAY,Fulham,525350,177450
C6031,2019,Special Service,339,CAT TRAPPED BEHIND WASHING MACHINE,Cat,Dwelling,E05000417,BRIXTON HILL,West Norwood,530450,174050
B6032,2019,Special Service,339,BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05000051,FINCHLEY CHURCH END,Finchley,525550,189750
C6033,2019,Special Service,339,CAT STUCK IN WALL,Cat,Dwelling,E05009374,HACKNEY WICK,Homerton,535950,184650
B6034,2019,Special Service,339,SMALL ANIMAL RESCUE - BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05000617,LATCHMERE,Battersea,526550,175450
C6035,2019,Special Service,339,CAT STUCK IN TREE   RSPCA IN ATTENDANCE   JUNC COWLEY ROAD,Cat,Outdoor,E05000436,VASSALL,Brixton,531350,176950
C6036,2019,Special Service,339,CAT TRAPPED IN CUPBOARD,Cat,Dwelling,E05000371,FINSBURY PARK,Holloway,530650,186650
C6037,2019,Special Service,339,CAT TRAPPED BEHIND CUPBOARD,Cat,Dwelling,E05011115,ST. GILES,Peckham,533150,176650
B6038,2019,Special Service,339,PARROT STUCK IN TREE  ATTACHED BY HARNESS,Bird,Outdoor,E05000217,COLDHARBOUR AND NEW ELTHAM,Eltham,542850,172150
B6039,2019,Special Service,339,RUNNING CALL TO PARAKEET TRAPPED IN NETTING OF FIRE STATION TOWER,Bird,Non Residential,E05000286,CANONS,Stanmore,517950,190750
F6040,2019,Special Service,339,FOX CUB TRAPPED BETWEEN CONCRETE POSTS - RSPCA ON SCENE -,Fox,Outdoor,E05000217,COLDHARBOUR AND NEW ELTHAM,Eltham,542650,172550
B6041,2019,Special Service,339,PIGEON TRAPPED IN NETTING UNDER BRIDGE - CALLER WILL MEET YOU,Bird,Outdoor Structure,E05000469,RAYNES PARK,New Malden,523250,169350
D6042,2019,Special Service,339,DOG TRAPPED IN GARDEN,Dog,Outdoor,E05000303,STANMORE PARK,Stanmore,516350,192650
C6043,2019,Special Service,339,POSSIBLY CAT STUCK IN CHIMNEY  FRU  REQUIRED WITH SNAKE EYE  CAMERA,Cat,Dwelling,E05000568,THE WRYTHE,Sutton,526750,165150
B6044,2019,Special Service,339,CROW STUCK IN NETTING - RSPCA INSPECTOR ON SCENE,Bird,Outdoor Structure,E05000353,HANWORTH,Feltham,511550,171150
B6045,2019,Special Service,339,SWAN STUCK ON BALCONY   ASSIST RSPCA,Bird,Dwelling,E05011483,SHIRLY SOUTH,Woodside,536950,165750
S6046,2019,Special Service,339,SQUIRREL TRAPPED IN VENT INSIDE PARK    CALLER WILL MEET LFB  SECOND ENTRANCE AFTER BP GARAGE ON RIG,Squirrel,Outdoor,E05000184,NORTHOLT MANDEVILLE,Northolt,512750,184450
B6049,2019,Special Service,339,ASSIST RSPCA GAIN ACCESS TO DUCKLINGS,Bird,Dwelling,E05000475,BECKTON,East Ham,544150,180650
B6051,2019,Special Service,339,PARROT TRAPPED IN BASEMENT,Bird,Dwelling,E05000634,CHURCH STREET,Paddington,527350,181850
B6052,2019,Special Service,339,STARLING   TRAPPED IN EAVES OF ROOF,Bird,Dwelling,E05009373,HACKNEY DOWNS,Homerton,534750,185650
B6054,2019,Special Service,339,SMALL ANIMAL RESCUE - 5 DUCKLINGS STUCK BENEATH HOUSE VOID,Bird,Dwelling,E05000195,CHASE,Enfield,533750,198350
C6055,2019,Special Service,339,CAT STUCK ON FITH FLOOR WINDOW LEDGE  NO ANSWER FROM FLAT OWNERS,Cat,Dwelling,E05000648,WESTBOURNE,Paddington,525250,181850
B6056,2019,Special Service,339,PIGEON TRAPPED IN NETTING,Bird,Dwelling,E05000604,LEYTON,Leyton,537350,186850
F6058,2019,Special Service,339,FOX TRAPPED IN DEEP EXCAVATION HOLE OUTSIDE HOUSE  - CALLER STATES ANIMAL IS DISTRESSED,Fox,Outdoor,E05000340,UXBRIDGE NORTH,Hillingdon,505650,184650
B6059,2019,Special Service,339,BIRD TRAPPED IN TREE   CALLED BY RSPCA OFFICER WHO IS ON SCENE,Bird,Outdoor,E05000373,HIGHBURY WEST,Holloway,531550,186350
B6060,2019,Special Service,339,SEAGULL CAUGHT IN NETTING ON ROOF,Bird,Non Residential,E05009301,CORNHILL,Dowgate,532950,181150
C6061,2019,Special Service,339,CAT STUCK UP TREE - REQUESTED BY RSPCA,Cat,Outdoor,E05000423,HERNE HILL,Brixton,532150,175450
B6063,2019,Special Service,339,BIRD TRAPPED BETWEEN PATIO BALCONY AND WALL,Bird,Dwelling,E05000492,STRATFORD AND NEW TOWN,Stratford,538550,183950
B6064,2019,Special Service,339,SMALL ANIMAL RESCUE - PIGEON TRAPPED IN NETTING  THIS IS BETWEEN LOWER MASH AND UPPER MARSH,Bird,Outdoor Structure,E05011114,ST. GEORGE'S,Dowgate,531650,179450
B6065,2019,Special Service,339,BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05011472,NORBURY & POLLARDS HILL,Norbury,530050,169150
B6067,2019,Special Service,339,BIRD TRAPPED IN NETTING,Bird,Dwelling,E05009373,HACKNEY DOWNS,Stoke Newington,534650,186050
B6068,2019,Special Service,339,MAGPIE WITH HEAD STUCK IN ROOF VOID      AT SIDE OF HOUSE,Bird,Dwelling,E05000192,WALPOLE,Ealing,516850,179850
B6069,2019,Special Service,339,PIGEON TRAPPED IN CHIMNEY,Bird,Dwelling,E05000205,PALMERS GREEN,Southgate,531150,192750
C6070,2019,Special Service,339,KITTEN STUCK UNDERNEATH RUBBLE IN REAR GARDEN,Cat,Dwelling,E05000189,SOUTHALL BROADWAY,Southall,512450,179950
C6071,2019,Special Service,339,CAT STUCK ON THE ROOF,Cat,Dwelling,E05009386,VICTORIA,Homerton,535450,184050
C6072,2019,Special Service,339,KITTENS TRAPPED IN UNDERGROWTH,Cat,Outdoor,E05000487,LITTLE ILFORD,East Ham,543350,185350
C6073,2019,Special Service,339,CAT TRAPPED IN DRAINPIPE ATTACHED TO PROPERTY,Cat,Dwelling,E05009333,SPITALFIELDS & BANGLATOWN,Whitechapel,533750,181850
C6074,2019,Special Service,339,CAT TRAPPED IN WALL,Cat,Dwelling,E05000033,GORESBROOK,Dagenham,549050,183650
C6075,2019,Special Service,339,CAT AND KITTENS UNDER WALL,Cat,Dwelling,E05011231,SLADE GREEN & NORTHEND,Bexley,552050,176350
C6077,2019,Special Service,339,CAT TRAPPED IN CAR ENGINE,Cat,Road Vehicle,E05000567,SUTTON WEST,Sutton,525650,163650
H6078,2019,Special Service,339,HORSE IN DISTRESS STUCK IN METAL FRAME     IN A  FIELD ON LEFT HAND SIDE COMING FROM LIMPSFIELD ROAD,Horse,Outdoor,E05011478,SANDERSTEAD,Purley,533450,160850
C6079,2019,Special Service,NA,CAT STUCK ON ROOF,Cat,Dwelling,E05000201,HASELBURY,Edmonton,533150,192950
C6080,2019,Special Service,339,INJURED KITTEN TRAPPED ON ROOF,Cat,Dwelling,E05000445,GROVE PARK,Eltham,541650,172050
B6081,2019,Special Service,339,BIRD STUCK IN FIRE PLACE,Bird,Dwelling,E05000111,CHISLEHURST,Sidcup,544450,170250
C6082,2019,Special Service,339,KITTEN TRAPPED BETWEEN EAVES AND GUTTER,Cat,Dwelling,E05000144,SWISS COTTAGE,West Hampstead,525550,184150
B6083,2019,Special Service,339,BIRDS STUCK IN NETTING - ASSIST RSPCA,Bird,Non Residential,E05000358,HOUNSLOW CENTRAL,Heston,513850,175650
D6084,2019,Special Service,339,DOG LOCKED INSIDE CAR,Dog,Road Vehicle,E05000492,STRATFORD AND NEW TOWN,Stratford,539150,184650
B6085,2019,Special Service,339,MAGPIE TRAPPED IN GUTTER,Bird,Dwelling,E05000413,SURBITON HILL,Surbiton,517950,167150
B6086,2019,Special Service,339,PIGEON STUCK IN NETTING,Bird,Non Residential,E05000039,THAMES,Barking,546050,183250
B6087,2019,Special Service,339,BIRD TRAPPED IN CHIMNEY,Bird,Dwelling,E05000310,GOOSHAYS,Harold Hill,553750,192350
F6088,2019,Special Service,1017,FOX FALLEN IN RIVER  CALLER WILL MEET YOU,Fox,Outdoor,E05000353,HANWORTH,Twickenham,512750,171850
B6089,2019,Special Service,339,PIGEON STUCK IN CHIMNEY AREA,Bird,Dwelling,E05011105,NEWINGTON,Lambeth,531950,178550
D6090,2019,Special Service,1017,DOG TRAPPED IN FOX HOLE      SNAKE EYE REQUIRED    WIMBLEDON COMMON   NEAR WAR MEMORIAL      TERRIER,Dog,Outdoor,E05000472,VILLAGE,Wimbledon,521650,171550
D6091,2019,Special Service,339,DOG TRAPPED IN WINDOW IN DISTRESS - CALLER IS PASSER BY - NO ONE ANSWERING DOOR,Dog,Outdoor Structure,E05000283,WHITE HART LANE,Tottenham,532850,190950
C6092,2019,Special Service,339,CAT TRAPPED UNDER CAR,Cat,Road Vehicle,E05000478,CANNING TOWN SOUTH,Plaistow,540350,181650
C6093,2019,Special Service,339,RUNNING CALL TO CAT TRAPPED IN CAR ENGINE,Cat,Road Vehicle,E05000228,THAMESMEAD MOORINGS,Plumstead,546250,180850
C6094,2019,Special Service,339,ASSIST RSPCA WITH KITTEN FALLEN DOWN CAVITY OF WALL,Cat,Dwelling,E05000352,FELTHAM WEST,Feltham,510450,172950
F6095,2019,Special Service,339,FOX TRAPPED IN FENCE,Fox,Dwelling,E05000137,HIGHGATE,Kentish Town,528150,187450
R6096,2019,Special Service,339,RABBIT WITH HEAD STUCK IN CAGE DOOR,Rabbit,Dwelling,E05000360,HOUNSLOW SOUTH,Heston,514550,175450
B6097,2019,Special Service,339,BIRD STUCK IN CHIMNEY,Bird,Dwelling,E05000211,TURKEY STREET,Enfield,535150,198150
B6098,2019,Special Service,339,BIRD TRAPPED IN VELUX WINDOW,Bird,Dwelling,E05000627,WANDSWORTH COMMON,Wandsworth,526350,174150
C6099,2019,Special Service,339,CAT TRAPPED POSSIBLY IN DRAN,Cat,Non Residential,E05000493,WALL END,East Ham,542950,183550
F6100,2019,Special Service,339,BABY FOX TRAPPED IN NETTING,Fox,Outdoor,E05000490,PLAISTOW SOUTH,Plaistow,540750,182050
H6101,2019,Special Service,1017,HORSE TRAPPED IN BARBED WIRE IN FIELD OPPOSITE,Horse,Outdoor,E05011480,SELSDON & ADDINGTON VILLAGE,Addington,536950,163450
C6102,2019,Special Service,339,CAT STUCK UP TREE   REQUESTED BY RSPCA (ON SITE),Cat,Outdoor,E05011481,SELSDON VALE & FORESTDALE,Addington,535350,161250
C6103,2019,Special Service,339,CAT STUCK IN BOARDED UP DISUSED BUILDING,Cat,Outdoor Structure,E05000141,KING'S CROSS,Euston,530350,182750
F6104,2019,Special Service,339,ANIMAL IN DISTRESS - FOX INJURED ON PREMISES,Fox,Non Residential,E05000637,KNIGHTSBRIDGE AND BELGRAVIA,Kensington,527950,179750
D6105,2019,Special Service,339,DOG TRAPPED IN RAILINGS,Dog,Outdoor Structure,E05000443,EVELYN,Deptford,536450,178750
C6106,2019,Special Service,678,SMALL ANIMAL RESCUE - CAT AND KITTENS STUCK BEHIND BATH,Cat,Dwelling,E05000107,BIGGIN HILL,Biggin Hill,540950,159050
